"ED5","ED50","ED95","GroupingProperty","Date","Country","Site","Species","Genotype","Condition","Temperature","Timepoint","PAM","sampleID"
35.87,36.67,37.5,"MarHE_Poc_420_1",20241212,"MV","MarHE","Poc",1,"deep",39.5,"420",0,"20241212_MV_MarHE_Poc_01_39.5_420_deep"
35.87,36.67,37.5,"MarHE_Poc_420_1",20241212,"MV","MarHE","Poc",1,"deep",37,"420",0.155,"20241212_MV_MarHE_Poc_01_37_420_deep"
35.87,36.67,37.5,"MarHE_Poc_420_1",20241212,"MV","MarHE","Poc",1,"deep",34,"420",0.654,"20241212_MV_MarHE_Poc_01_34_420_deep"
35.87,36.67,37.5,"MarHE_Poc_420_1",20241212,"MV","MarHE","Poc",1,"deep",29.5,"420",0.651,"20241212_MV_MarHE_Poc_01_29.5_420_deep"
35.67,36.7,37.76,"MarHE_Poc_420_2",20241212,"MV","MarHE","Poc",2,"deep",39.5,"420",0,"20241212_MV_MarHE_Poc_02_39.5_420_deep"
35.67,36.7,37.76,"MarHE_Poc_420_2",20241212,"MV","MarHE","Poc",2,"deep",37,"420",0.194,"20241212_MV_MarHE_Poc_02_37_420_deep"
35.67,36.7,37.76,"MarHE_Poc_420_2",20241212,"MV","MarHE","Poc",2,"deep",34,"420",0.633,"20241212_MV_MarHE_Poc_02_34_420_deep"
35.67,36.7,37.76,"MarHE_Poc_420_2",20241212,"MV","MarHE","Poc",2,"deep",29.5,"420",0.655,"20241212_MV_MarHE_Poc_02_29.5_420_deep"
33.46,35.54,37.75,"MarHE_Poc_420_3",20241212,"MV","MarHE","Poc",3,"deep",39.5,"420",0,"20241212_MV_MarHE_Poc_03_39.5_420_deep"
33.46,35.54,37.75,"MarHE_Poc_420_3",20241212,"MV","MarHE","Poc",3,"deep",37,"420",0.077,"20241212_MV_MarHE_Poc_03_37_420_deep"
33.46,35.54,37.75,"MarHE_Poc_420_3",20241212,"MV","MarHE","Poc",3,"deep",34,"420",0.56,"20241212_MV_MarHE_Poc_03_34_420_deep"
33.46,35.54,37.75,"MarHE_Poc_420_3",20241212,"MV","MarHE","Poc",3,"deep",29.5,"420",0.625,"20241212_MV_MarHE_Poc_03_29.5_420_deep"
36.23,37.26,38.32,"MarHE_Poc_420_4",20241212,"MV","MarHE","Poc",4,"deep",39.5,"420",0,"20241212_MV_MarHE_Poc_04_39.5_420_deep"
36.23,37.26,38.32,"MarHE_Poc_420_4",20241212,"MV","MarHE","Poc",4,"deep",37,"420",0.408,"20241212_MV_MarHE_Poc_04_37_420_deep"
36.23,37.26,38.32,"MarHE_Poc_420_4",20241212,"MV","MarHE","Poc",4,"deep",34,"420",0.602,"20241212_MV_MarHE_Poc_04_34_420_deep"
